Order Date,Region,Category,Sales,Profit
2022-01-01,East,Furniture,728.0,250.88
2022-01-02,East,Technology,932.14,-18.01
2022-01-03,West,Office Supplies,670.23,223.95
2022-01-06,East,Technology,690.55,80.22
2022-01-06,South,Technology,70.65,182.9
2022-01-08,West,Furniture,562.78,-79.43
2022-01-09,East,Technology,111.24,29.47
2022-01-12,South,Office Supplies,818.18,-89.16
2022-01-16,East,Furniture,193.57,50.78
2022-01-17,Central,Technology,144.52,-92.76
2022-01-20,East,Office Supplies,737.35,23.81
2022-01-21,East,Office Supplies,466.95,235.33
2022-01-24,South,Furniture,443.31,294.91
2022-01-25,Central,Office Supplies,799.28,80.34
2022-01-25,Central,Technology,429.06,185.34
2022-01-25,West,Furniture,534.26,224.22
2022-01-31,West,Office Supplies,101.83,138.97
2022-02-03,South,Technology,400.9,181.63
2022-02-05,East,Technology,865.84,83.65
2022-02-06,West,Office Supplies,36.26,258.71
2022-02-08,Central,Furniture,504.53,219.94
2022-02-09,East,Office Supplies,89.76,-89.85
2022-02-12,West,Technology,189.74,-28.79
2022-02-13,Central,Furniture,863.52,198.99
2022-02-14,East,Office Supplies,109.38,257.82
2022-02-14,West,Office Supplies,766.28,233.97
2022-02-14,East,Office Supplies,964.35,262.59
2022-02-15,Central,Furniture,731.57,69.65
2022-02-15,South,Office Supplies,459.48,74.45
2022-02-15,East,Technology,384.58,232.09
2022-02-17,West,Technology,64.4,298.75
2022-02-17,Central,Office Supplies,757.33,-43.95
2022-02-19,East,Technology,131.2,3.16
2022-02-19,Central,Furniture,826.15,102.36
2022-02-21,West,Technology,336.74,78.96
2022-02-22,West,Furniture,712.12,-52.9
2022-02-22,South,Technology,525.97,273.75
2022-02-23,West,Technology,91.31,-92.64
2022-02-23,Central,Furniture,627.73,177.88
2022-02-23,Central,Furniture,702.11,113.38
2022-02-24,Central,Technology,133.55,3.3
2022-02-25,West,Furniture,540.73,-38.98
2022-02-25,East,Furniture,422.18,-17.47
2022-02-25,Central,Technology,96.89,235.56
2022-02-26,West,Technology,465.45,-57.36
2022-02-26,South,Furniture,92.32,138.03
2022-02-28,South,Furniture,907.24,-27.23
2022-03-03,West,Office Supplies,338.68,-3.94
2022-03-03,Central,Office Supplies,854.11,151.08
2022-03-03,West,Office Supplies,806.15,74.99
2022-03-04,Central,Technology,119.1,110.28
2022-03-05,East,Furniture,567.24,166.01
2022-03-08,South,Furniture,330.58,33.96
2022-03-09,South,Office Supplies,198.19,-81.91
2022-03-12,East,Office Supplies,599.08,14.04
2022-03-14,West,Technology,779.63,240.87
2022-03-14,East,Office Supplies,296.22,-11.21
2022-03-14,South,Furniture,305.4,-39.83
2022-03-15,Central,Technology,34.11,-43.66
2022-03-17,West,Furniture,133.75,-29.45
2022-03-17,East,Furniture,896.93,124.38
2022-03-18,South,Office Supplies,689.35,63.49
2022-03-18,West,Furniture,642.39,-65.86
2022-03-19,Central,Office Supplies,701.83,208.36
2022-03-20,East,Technology,482.77,-39.24
2022-03-21,Central,Technology,713.91,190.29
2022-03-21,South,Technology,970.19,108.07
2022-03-24,West,Office Supplies,751.56,286.01
2022-03-26,Central,Technology,179.68,259.22
2022-03-27,West,Technology,241.97,109.8
2022-03-28,South,Technology,178.4,34.64
2022-03-28,Central,Furniture,951.7,114.44
2022-03-28,East,Office Supplies,941.65,85.07
2022-03-30,East,Office Supplies,640.44,-3.04
2022-04-04,Central,Technology,599.02,278.91
2022-04-04,Central,Furniture,383.23,231.9
2022-04-07,West,Office Supplies,295.32,40.24
2022-04-08,South,Furniture,990.25,24.69
2022-04-10,South,Office Supplies,157.28,-0.6
2022-04-12,East,Furniture,871.23,18.85
2022-04-13,East,Technology,295.34,73.93
2022-04-13,East,Furniture,265.24,34.08
2022-04-18,West,Furniture,334.36,-1.62
2022-04-19,South,Office Supplies,162.0,134.74
2022-04-19,West,Technology,583.96,-73.72
2022-04-19,South,Office Supplies,868.85,229.01
2022-04-21,West,Technology,910.1,-65.23
2022-04-29,South,Technology,652.27,64.16
2022-04-29,South,Office Supplies,973.55,-44.09
2022-05-01,West,Office Supplies,325.48,-54.58
2022-05-01,Central,Technology,951.06,7.23
2022-05-03,West,Office Supplies,160.13,-44.26
2022-05-03,West,Office Supplies,591.98,266.93
2022-05-03,Central,Technology,29.01,295.98
2022-05-05,East,Furniture,697.12,-55.18
2022-05-05,Central,Office Supplies,505.27,142.47
2022-05-06,West,Furniture,638.52,-34.54
2022-05-07,South,Furniture,532.28,167.02
2022-05-07,East,Technology,811.96,-67.3
2022-05-08,South,Office Supplies,780.88,58.87
2022-05-09,South,Technology,703.08,204.98
2022-05-10,South,Office Supplies,740.37,219.97
2022-05-13,West,Furniture,95.44,176.16
2022-05-19,South,Furniture,717.94,39.55
2022-05-23,East,Office Supplies,650.42,81.32
2022-05-25,East,Furniture,706.95,8.92
2022-05-28,Central,Office Supplies,45.98,-85.38
2022-05-28,Central,Furniture,951.6,149.66
2022-05-28,South,Furniture,762.69,80.98
2022-05-29,Central,Furniture,649.57,-23.72
2022-05-30,Central,Technology,92.56,270.64
2022-06-04,South,Office Supplies,259.11,236.73
2022-06-04,Central,Technology,215.68,65.93
2022-06-06,Central,Technology,707.93,188.01
2022-06-08,West,Technology,135.18,-66.88
2022-06-12,East,Technology,125.73,-83.65
2022-06-13,East,Furniture,528.41,113.05
2022-06-14,West,Furniture,869.73,-49.0
2022-06-15,Central,Technology,507.3,-15.42
2022-06-15,South,Office Supplies,592.63,191.28
2022-06-16,West,Office Supplies,189.83,59.6
2022-06-16,West,Office Supplies,755.6,-60.22
2022-06-17,South,Furniture,529.67,168.63
2022-06-19,East,Office Supplies,639.2,120.82
2022-06-19,West,Office Supplies,619.62,137.65
2022-06-20,South,Technology,898.17,-16.26
2022-06-20,Central,Furniture,838.6,-38.86
2022-06-21,West,Furniture,83.75,298.65
2022-06-21,Central,Furniture,103.64,269.0
2022-06-23,South,Office Supplies,76.92,264.37
2022-06-24,South,Office Supplies,56.6,134.49
2022-06-27,Central,Office Supplies,344.28,97.05
2022-06-27,East,Technology,26.81,-85.33
2022-06-27,Central,Technology,976.34,194.58
2022-06-28,East,Furniture,231.5,126.05
2022-06-30,West,Office Supplies,156.7,52.36
2022-06-30,West,Technology,644.81,-48.45
2022-07-02,South,Office Supplies,986.91,121.67
2022-07-03,East,Office Supplies,879.92,-58.36
2022-07-04,South,Office Supplies,963.4,268.34
2022-07-05,West,Office Supplies,967.32,117.42
2022-07-05,West,Technology,962.93,15.48
2022-07-07,East,Technology,855.95,149.7
2022-07-08,East,Technology,563.27,38.54
2022-07-09,South,Office Supplies,204.36,136.09
2022-07-10,South,Office Supplies,931.1,151.16
2022-07-10,West,Office Supplies,172.87,-34.95
2022-07-11,South,Furniture,986.28,-45.25
2022-07-11,South,Office Supplies,499.66,198.18
2022-07-12,West,Office Supplies,49.89,-38.66
2022-07-13,Central,Technology,89.16,-17.94
2022-07-14,West,Furniture,942.64,60.31
2022-07-15,East,Technology,564.1,11.99
2022-07-22,Central,Office Supplies,136.44,195.21
2022-07-24,South,Furniture,698.06,138.26
2022-07-24,South,Furniture,766.39,45.23
2022-07-25,Central,Technology,64.54,175.36
2022-07-25,South,Office Supplies,708.43,250.71
2022-07-25,West,Technology,64.32,202.05
2022-07-25,Central,Technology,254.77,114.84
2022-07-25,East,Technology,440.41,258.53
2022-07-26,Central,Technology,387.37,42.27
2022-07-27,Central,Office Supplies,944.05,-57.13
2022-07-27,Central,Furniture,643.68,11.44
2022-07-27,South,Office Supplies,889.34,-38.25
2022-07-29,East,Technology,807.6,-75.57
2022-08-02,West,Furniture,172.9,173.89
2022-08-04,Central,Office Supplies,718.98,156.35
2022-08-04,West,Technology,669.27,43.27
2022-08-05,West,Furniture,812.23,277.91
2022-08-05,West,Furniture,839.26,247.96
2022-08-05,East,Furniture,469.09,109.76
2022-08-10,South,Furniture,515.15,-27.43
2022-08-10,South,Furniture,366.29,-63.37
2022-08-13,West,Office Supplies,324.76,153.36
2022-08-16,Central,Office Supplies,900.58,-46.23
2022-08-16,South,Furniture,987.15,39.3
2022-08-19,Central,Furniture,581.97,63.76
2022-08-20,West,Furniture,664.46,275.34
2022-08-22,Central,Furniture,31.91,165.47
2022-08-27,Central,Technology,439.62,53.56
2022-08-31,West,Furniture,892.21,177.58
2022-09-01,South,Furniture,793.83,94.97
2022-09-02,West,Technology,591.7,55.72
2022-09-02,South,Technology,266.75,28.83
2022-09-03,South,Technology,479.29,-81.21
2022-09-03,East,Office Supplies,137.47,104.67
2022-09-03,South,Furniture,62.3,193.03
2022-09-09,East,Office Supplies,43.83,226.64
2022-09-09,West,Furniture,127.85,93.81
2022-09-14,West,Technology,450.19,293.94
2022-09-19,West,Office Supplies,201.16,208.93
2022-09-20,Central,Furniture,372.99,144.58
2022-09-21,South,Technology,513.07,-73.17
2022-09-22,East,Furniture,102.46,-79.27
2022-09-22,Central,Technology,273.6,147.25
2022-09-25,South,Office Supplies,106.72,-46.39
2022-09-29,West,Technology,892.46,227.64
2022-10-03,West,Technology,44.91,-23.08
2022-10-03,Central,Furniture,858.35,265.94
2022-10-06,East,Office Supplies,605.94,250.66
2022-10-08,South,Office Supplies,734.43,279.81
2022-10-09,West,Furniture,916.57,199.04
2022-10-09,East,Technology,108.48,-59.29
2022-10-11,South,Technology,503.92,89.58
2022-10-15,West,Furniture,438.99,-31.07
2022-10-15,South,Technology,474.42,44.39
2022-10-18,Central,Technology,586.71,-27.36
2022-10-18,South,Technology,405.24,218.11
2022-10-22,West,Technology,353.99,167.23
2022-10-22,East,Furniture,158.11,56.9
2022-10-22,Central,Technology,874.03,268.35
2022-10-23,South,Technology,137.2,-44.47
2022-10-23,Central,Technology,940.71,120.76
2022-10-24,West,Furniture,879.79,167.46
2022-10-26,East,Furniture,926.2,-31.64
2022-10-31,West,Furniture,861.24,17.26
2022-11-04,South,Furniture,300.0,187.62
2022-11-04,West,Office Supplies,56.15,256.21
2022-11-06,East,Furniture,351.24,117.09
2022-11-07,West,Office Supplies,545.06,-5.11
2022-11-08,South,Technology,990.7,188.91
2022-11-08,East,Furniture,350.86,112.85
2022-11-09,South,Office Supplies,387.12,100.88
2022-11-10,South,Office Supplies,386.79,160.57
2022-11-12,South,Office Supplies,807.41,-28.58
2022-11-13,West,Technology,368.85,-10.16
2022-11-16,East,Technology,484.69,132.24
2022-11-22,Central,Technology,187.11,299.89
2022-11-22,Central,Furniture,435.74,-29.85
2022-11-24,South,Technology,154.77,246.2
2022-11-24,South,Technology,318.16,50.59
2022-11-24,West,Furniture,400.41,210.21
2022-11-25,West,Office Supplies,813.91,238.58
2022-11-25,East,Technology,911.13,168.68
2022-11-25,Central,Office Supplies,829.93,133.22
2022-11-26,South,Office Supplies,709.58,44.96
2022-11-29,West,Technology,380.43,42.44
2022-12-01,West,Office Supplies,59.91,67.57
2022-12-04,Central,Furniture,614.3,-74.65
2022-12-07,East,Furniture,96.18,-45.27
2022-12-07,West,Technology,55.22,263.38
2022-12-11,West,Office Supplies,211.88,244.71
2022-12-15,East,Office Supplies,949.91,122.17
2022-12-15,South,Technology,941.43,125.94
2022-12-17,South,Office Supplies,300.81,84.8
2022-12-19,Central,Technology,765.57,-27.25
2022-12-19,West,Furniture,119.44,28.94
2022-12-20,West,Office Supplies,904.5,-89.39
2022-12-22,South,Furniture,969.92,98.55
2022-12-22,Central,Office Supplies,970.48,274.73
2022-12-23,Central,Technology,293.07,99.38
2022-12-23,West,Technology,832.16,-45.45
2022-12-26,Central,Furniture,554.7,76.31
2022-12-26,South,Technology,640.74,249.43
2022-12-29,West,Furniture,115.88,152.91
2022-12-30,West,Furniture,666.78,122.71
2023-01-03,West,Office Supplies,743.14,267.94
2023-01-03,East,Furniture,431.21,195.0
2023-01-05,South,Furniture,879.83,-86.59
2023-01-06,Central,Office Supplies,558.54,-91.01
2023-01-09,West,Furniture,193.89,-4.73
2023-01-13,Central,Furniture,296.39,161.1
2023-01-13,Central,Office Supplies,420.77,136.51
2023-01-13,West,Furniture,565.67,217.61
2023-01-14,West,Technology,332.93,136.12
2023-01-15,West,Office Supplies,652.56,75.65
2023-01-19,Central,Furniture,59.96,-25.37
2023-01-23,West,Technology,299.14,-52.1
2023-01-24,West,Furniture,658.92,88.63
2023-01-26,South,Furniture,452.7,7.47
2023-01-28,West,Furniture,306.3,287.97
2023-01-28,South,Technology,903.13,98.2
2023-01-30,West,Office Supplies,252.5,271.81
2023-01-30,South,Office Supplies,380.36,196.45
2023-01-30,Central,Office Supplies,625.85,293.76
2023-01-31,East,Furniture,202.79,-35.73
2023-02-04,South,Office Supplies,44.84,-50.13
2023-02-07,South,Technology,551.79,60.34
2023-02-11,East,Furniture,31.13,107.57
